country_1,country_2,run,count
SVN,DNK,11,2
SVN,ESP,11,6
SVN,EST,11,9
SVN,FIN,11,7
SVN,FRA,11,9
SVN,GBR,11,7
SVN,HRV,11,9
SVN,HUN,11,10
SVN,IRL,11,3
SVN,ITA,11,2
SVN,LTU,11,10
SVN,LVA,11,9
SVN,NLD,11,2
SVN,NOR,11,4
SVN,POL,11,11
SVN,PRT,11,3
SVN,SVK,11,11
SVN,SVN,11,13
SVN,SWE,11,7
SWE,AUT,11,0
SWE,BEL,11,3
SWE,CHE,11,3
SWE,CZE,11,5
SWE,DEU,11,0
SWE,DNK,11,1
SWE,ESP,11,2
SWE,EST,11,5
SWE,FIN,11,4
SWE,FRA,11,6
SWE,GBR,11,4
SWE,HRV,11,7
SWE,HUN,11,5
SWE,IRL,11,1
SWE,ITA,11,2
SWE,LTU,11,6
SWE,LVA,11,5
SWE,NLD,11,0
SWE,NOR,11,3
SWE,POL,11,4
SWE,PRT,11,0
SWE,SVK,11,6
SWE,SVN,11,7
SWE,SWE,11,8
AUT,AUT,12,7
AUT,BEL,12,4
AUT,CHE,12,5
AUT,CZE,12,4
AUT,DEU,12,5
AUT,DNK,12,2
AUT,ESP,12,4
AUT,EST,12,2
AUT,FIN,12,0
AUT,FRA,12,4
AUT,GBR,12,1
AUT,HRV,12,6
AUT,HUN,12,4
AUT,IRL,12,0
AUT,ITA,12,6
AUT,LTU,12,2
AUT,LVA,12,2
AUT,NLD,12,3
AUT,NOR,12,2
AUT,POL,12,5
AUT,PRT,12,3
AUT,SVK,12,5
AUT,SVN,12,4
AUT,SWE,12,2
BEL,AUT,12,4
